City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
174,guerrero negro,MX,2021-08-02 00:52:30,27.9769,-114.0611,78.21,66,0,16.78,clear sky
175,barcelona,ES,2021-08-02 00:51:54,41.3888,2.159,72.97,80,0,4.61,clear sky
176,roald,NO,2021-08-02 00:55:13,62.5833,6.1333,53.01,87,40,9.22,scattered clouds
177,coihaique,CL,2021-08-02 00:55:13,-45.5752,-72.0662,51.75,66,75,8.05,moderate rain
178,rudbar,AF,2021-08-02 00:55:14,30.15,62.6,83.28,16,0,19.01,clear sky
179,axim,GH,2021-08-02 00:51:53,4.8699,-2.2405,75.38,90,11,4.7,few clouds
180,lompoc,US,2021-08-02 00:55:14,34.6391,-120.4579,85.57,63,1,13.8,clear sky
181,sao filipe,CV,2021-08-02 00:50:18,14.8961,-24.4956,75.63,77,19,0.76,few clouds
182,half moon bay,US,2021-08-02 00:55:15,37.4636,-122.4286,83.75,66,20,12.66,few clouds
183,auki,SB,2021-08-02 00:55:15,-8.7676,160.7034,81.39,79,37,9.26,scattered clouds
184,cockburn town,TC,2021-08-02 00:55:15,21.4612,-71.1419,82.15,81,99,20.51,overcast clouds
185,vila franca do campo,PT,2021-08-02 00:55:16,37.7167,-25.4333,73.81,93,63,9.69,broken clouds
186,araguacu,BR,2021-08-02 00:55:16,-12.9306,-49.8264,77.59,37,5,5.61,clear sky
187,taraz,KZ,2021-08-02 00:55:17,42.9,71.3667,77.29,36,79,4.47,broken clouds
188,high prairie,CA,2021-08-02 00:55:17,55.4334,-116.4858,83.5,28,100,6.76,overcast clouds
189,fomboni,KM,2021-08-02 00:55:17,-12.28,43.7425,76.3,69,4,18.16,clear sky
190,grindavik,IS,2021-08-02 00:55:18,63.8424,-22.4338,53.56,100,75,5.75,broken clouds
191,tautira,PF,2021-08-02 00:55:18,-17.7333,-149.15,82.42,63,8,7.2,clear sky
192,georgetown,MY,2021-08-02 00:54:24,5.4112,100.3354,80.53,89,20,1.99,few clouds
193,bethel,US,2021-08-02 00:55:18,41.3712,-73.414,70.54,91,45,4.34,light rain
194,peace river,CA,2021-08-02 00:55:19,56.2501,-117.286,86.31,48,90,3.44,overcast clouds
195,tasiilaq,GL,2021-08-02 00:55:19,65.6145,-37.6368,41.31,77,100,3.83,overcast clouds
196,zhezkazgan,KZ,2021-08-02 00:55:20,47.8043,67.7144,79.32,31,10,6.35,clear sky
197,jumla,NP,2021-08-02 00:55:20,29.2747,82.1838,64.87,88,97,1.77,overcast clouds
198,castro,BR,2021-08-02 00:55:20,-24.7911,-50.0119,45.86,91,19,2.95,few clouds
199,khatanga,RU,2021-08-02 00:52:40,71.9667,102.5,67.28,59,100,8.14,overcast clouds
200,benton harbor,US,2021-08-02 00:55:21,42.1167,-86.4542,69.49,73,0,4.0,clear sky
201,santa marta,CO,2021-08-02 00:53:08,11.2408,-74.199,87.85,74,75,8.05,broken clouds
202,ranfurly,NZ,2021-08-02 00:55:21,-45.1333,170.1,44.64,93,84,4.03,broken clouds
203,shimoda,JP,2021-08-02 00:55:22,34.6667,138.95,82.76,70,63,8.03,broken clouds
204,chulym,RU,2021-08-02 00:55:22,55.0997,80.9572,62.15,80,21,1.77,few clouds
205,komsomolskiy,UZ,2021-08-02 00:55:22,40.4272,71.7189,76.42,53,11,4.61,few clouds
206,ati,TD,2021-08-02 00:55:24,13.2154,18.3353,76.55,80,100,5.75,overcast clouds
207,mahebourg,MU,2021-08-02 00:55:24,-20.4081,57.7,68.29,83,40,11.5,scattered clouds
208,makakilo city,US,2021-08-02 00:55:24,21.3469,-158.0858,82.72,53,75,19.57,broken clouds
209,san fernando,PH,2021-08-02 00:55:25,15.0286,120.6898,85.14,75,100,14.58,overcast clouds
210,yar-sale,RU,2021-08-02 00:52:43,66.8333,70.8333,54.91,98,100,15.23,light rain
211,nouadhibou,MR,2021-08-02 00:55:12,20.931,-17.0347,73.38,78,0,12.66,clear sky
212,chumikan,RU,2021-08-02 00:55:26,54.7183,135.315,56.59,78,100,3.56,overcast clouds
213,liangxiang,CN,2021-08-02 00:55:26,39.7319,116.14,82.31,52,7,2.35,clear sky
214,kedrovyy,RU,2021-08-02 00:55:26,56.1667,91.8167,57.61,83,7,3.15,clear sky
215,cayenne,GF,2021-08-02 00:55:27,4.9333,-52.3333,82.09,79,0,4.61,clear sky
216,rawson,AR,2021-08-02 00:55:27,-43.3002,-65.1023,55.96,39,33,7.94,scattered clouds
217,ketchikan,US,2021-08-02 00:55:27,55.3422,-131.6461,67.44,68,100,3.06,overcast clouds
218,gizo,SB,2021-08-02 00:55:28,-8.103,156.8419,80.98,80,34,11.95,light rain
219,mahon,ES,2021-08-02 00:55:28,39.8885,4.2658,70.36,78,0,5.75,clear sky
220,ayr,GB,2021-08-02 00:55:29,55.4627,-4.6339,54.48,87,0,4.61,clear sky
221,semnan,IR,2021-08-02 00:55:29,35.5729,53.3971,76.06,44,37,6.91,scattered clouds
222,buncrana,IE,2021-08-02 00:55:29,55.1333,-7.45,48.87,89,100,3.49,overcast clouds
223,namibe,AO,2021-08-02 00:55:30,-15.1961,12.1522,67.15,87,15,1.83,few clouds
224,burns lake,CA,2021-08-02 00:55:30,54.2331,-125.7533,87.22,25,2,3.13,clear sky
225,huescar,ES,2021-08-02 00:55:31,37.811,-2.5412,65.95,68,18,1.54,few clouds
226,mandalgovi,MN,2021-08-02 00:55:31,45.7625,106.2708,66.45,35,100,19.6,overcast clouds
227,banda aceh,ID,2021-08-02 00:55:31,5.5577,95.3222,80.71,74,100,17.36,overcast clouds
228,bahia blanca,AR,2021-08-02 00:55:32,-38.7196,-62.2724,48.38,49,0,11.27,clear sky
229,ostrovnoy,RU,2021-08-02 00:55:32,68.0531,39.5131,48.61,84,57,7.99,broken clouds
230,dikson,RU,2021-08-02 00:55:33,73.5069,80.5464,42.12,99,100,10.09,overcast clouds
231,bengkulu,ID,2021-08-02 00:55:33,-3.8004,102.2655,75.9,89,97,3.71,overcast clouds
232,klobuck,PL,2021-08-02 00:55:33,50.9008,18.9367,59.14,95,100,8.72,overcast clouds
233,lensk,RU,2021-08-02 00:55:34,60.7253,114.9278,69.46,49,100,7.31,overcast clouds
234,alexandria,EG,2021-08-02 00:52:06,31.2156,29.9553,79.34,89,0,5.75,clear sky
235,pochutla,MX,2021-08-02 00:55:34,15.7432,-96.4661,78.98,85,100,3.0,overcast clouds
236,oranjemund,NA,2021-08-02 00:55:13,-28.55,16.4333,55.56,76,0,7.34,clear sky
237,portland,US,2021-08-02 00:54:00,45.5234,-122.6762,94.69,45,83,3.0,broken clouds
238,guiglo,CI,2021-08-02 00:55:35,6.5456,-7.4966,71.08,97,99,2.21,light rain
239,new norfolk,AU,2021-08-02 00:55:35,-42.7826,147.0587,50.92,79,93,3.27,overcast clouds
240,itarema,BR,2021-08-02 00:55:36,-2.9248,-39.9167,75.92,75,11,8.79,few clouds
241,elverum,NO,2021-08-02 00:55:36,60.8819,11.5623,53.06,69,100,7.92,overcast clouds
242,kushmurun,KZ,2021-08-02 00:55:37,52.4503,64.6311,70.36,70,30,5.73,scattered clouds
243,plettenberg bay,ZA,2021-08-02 00:51:21,-34.0527,23.3716,58.03,84,100,8.03,light rain
244,saskylakh,RU,2021-08-02 00:53:49,71.9167,114.0833,78.46,37,5,6.29,clear sky
245,northam,GB,2021-08-02 00:55:37,51.0333,-4.2167,56.61,90,39,6.44,scattered clouds
246,kununurra,AU,2021-08-02 00:50:55,-15.7667,128.7333,82.38,57,7,4.61,clear sky
247,cherskiy,RU,2021-08-02 00:55:38,68.75,161.3,42.1,68,84,21.77,broken clouds
248,adrar,MR,2021-08-02 00:54:52,20.5022,-10.0711,91.18,31,16,5.21,few clouds
249,ahipara,NZ,2021-08-02 00:55:38,-35.1667,173.1667,58.26,67,13,11.56,few clouds
250,amot,NO,2021-08-02 00:55:39,59.5714,7.9877,50.76,82,94,0.51,overcast clouds
251,beringovskiy,RU,2021-08-02 00:55:39,63.05,179.3167,45.72,79,96,21.34,overcast clouds
252,sakakah,SA,2021-08-02 00:55:13,29.9697,40.2064,87.37,21,0,10.89,clear sky
253,seymchan,RU,2021-08-02 00:55:40,62.8833,152.4333,45.28,61,100,18.7,overcast clouds
254,irondequoit,US,2021-08-02 00:55:40,43.2134,-77.5797,64.53,88,100,10.67,overcast clouds
255,upernavik,GL,2021-08-02 00:55:40,72.7868,-56.1549,42.69,79,5,9.69,clear sky
256,chicama,PE,2021-08-02 00:55:41,-7.8447,-79.1469,63.14,80,0,6.08,clear sky
257,lufilufi,WS,2021-08-02 00:55:42,-13.8745,-171.5986,77.79,81,88,20.8,moderate rain
258,redmond,US,2021-08-02 00:52:03,47.674,-122.1215,87.46,54,100,1.01,overcast clouds
259,sikasso,ML,2021-08-02 00:55:42,10.9167,-7.0,71.17,97,10,3.94,clear sky
260,kralendijk,BQ,2021-08-02 00:55:43,12.15,-68.2667,81.43,84,0,23.4,clear sky
261,vuktyl,RU,2021-08-02 00:55:43,63.8567,57.3094,54.28,97,24,3.98,few clouds
262,leningradskiy,RU,2021-08-02 00:55:43,69.3833,178.4167,34.23,99,100,18.3,light rain
263,seoul,KR,2021-08-02 00:51:12,37.5683,126.9778,81.01,86,90,5.75,overcast clouds
264,semporna,MY,2021-08-02 00:55:44,4.4818,118.6112,79.0,72,97,2.98,light rain
265,pisco,PE,2021-08-02 00:55:44,-13.7,-76.2167,62.65,82,75,12.66,broken clouds
266,manta,EC,2021-08-02 00:54:24,-0.95,-80.7333,73.18,83,20,12.66,few clouds
267,chabahar,IR,2021-08-02 00:55:45,25.2919,60.643,82.74,85,96,4.23,overcast clouds
