City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
658,elizabeth city,US,80.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
660,san angelo,US,82.63,overcast clouds,31.4638,-100.437,"Motel 6 San Angelo, TX"
662,sakrand,PK,80.55,haze,26.1384,68.2736,New Mashaallah Hotel
668,fukue,JP,84.56,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
671,nampa,US,81.64,clear sky,43.5407,-116.5635,Nampa Downtown
675,innisfail,AU,76.35,clear sky,-17.5333,146.0333,Moondarra Motel
676,basco,PH,81.55,light rain,20.4487,121.9702,Nathaniel's Lodge
685,saint anthony,US,76.82,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
686,bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
688,porlamar,VE,84.29,clear sky,10.958,-63.8491,Hotel Bella Vista
691,korla,CN,77.27,overcast clouds,41.7597,86.1469,Gulisitan Hotel
